,geo_h3_10,city,primary,primary_link,secondary,secondary_link,tertiary,residential,motorway,unclassified
125,8a0bb0205397fff,Новосибирск,0,0,0,0,0,5,0,0
126,8a0bb020539ffff,Новосибирск,0,0,0,0,0,1,0,0
127,8a0bb02053a7fff,Новосибирск,0,0,0,0,0,0,0,0
128,8a0bb02053affff,Новосибирск,0,0,0,0,0,2,0,0
129,8a0bb02053b7fff,Новосибирск,0,0,0,0,0,1,0,0
130,8a0bb0205767fff,Новосибирск,0,0,0,0,0,7,0,0
131,8a0bb020576ffff,Новосибирск,0,0,0,0,0,1,0,0
132,8a0bb0205777fff,Новосибирск,0,0,0,0,0,2,0,0
133,8a0bb0205807fff,Новосибирск,0,0,0,0,0,2,0,0
134,8a0bb0205817fff,Новосибирск,0,0,0,0,0,3,0,0
135,8a0bb020581ffff,Новосибирск,0,0,0,0,0,8,0,0
136,8a0bb0205827fff,Новосибирск,0,0,0,0,0,0,0,0
137,8a0bb0205837fff,Новосибирск,0,0,0,0,0,1,0,0
138,8a0bb0205887fff,Новосибирск,0,0,0,0,0,2,0,0
139,8a0bb020588ffff,Новосибирск,0,0,0,0,0,3,0,0
140,8a0bb0205897fff,Новосибирск,0,0,0,0,0,0,0,0
141,8a0bb020589ffff,Новосибирск,0,0,0,0,0,2,0,0
142,8a0bb02058a7fff,Новосибирск,0,0,0,0,0,0,0,0
143,8a0bb02058affff,Новосибирск,0,0,0,0,0,4,0,0
144,8a0bb02058b7fff,Новосибирск,0,0,0,0,0,0,0,0
145,8a0bb0205907fff,Новосибирск,0,0,0,0,0,4,0,0
146,8a0bb020590ffff,Новосибирск,0,0,0,0,0,0,0,0
147,8a0bb0205917fff,Новосибирск,0,0,0,0,0,1,0,0
148,8a0bb020591ffff,Новосибирск,0,0,0,0,0,1,0,0
149,8a0bb0205927fff,Новосибирск,0,0,0,0,0,0,0,0
150,8a0bb020592ffff,Новосибирск,0,0,0,0,0,1,0,0
151,8a0bb0205937fff,Новосибирск,0,0,0,0,0,0,0,0
152,8a0bb0205957fff,Новосибирск,0,0,0,0,0,0,0,0
153,8a0bb0205967fff,Новосибирск,0,0,0,0,0,2,0,0
154,8a0bb0205977fff,Новосибирск,0,0,0,0,0,0,0,0
155,8a0bb0205987fff,Новосибирск,0,0,0,0,0,1,0,0
156,8a0bb020598ffff,Новосибирск,0,0,0,0,0,0,0,0
157,8a0bb0205997fff,Новосибирск,0,0,0,0,0,3,0,0
158,8a0bb020599ffff,Новосибирск,0,0,0,0,0,0,0,0
159,8a0bb02059a7fff,Новосибирск,0,0,0,0,0,0,0,0
160,8a0bb02059affff,Новосибирск,0,0,0,0,0,0,0,0
161,8a0bb02059b7fff,Новосибирск,0,0,0,0,1,3,0,0
162,8a0bb0205a07fff,Новосибирск,0,0,0,0,0,0,0,0
163,8a0bb0205a0ffff,Новосибирск,0,0,0,0,0,0,0,0
164,8a0bb0205a17fff,Новосибирск,0,0,0,0,0,2,0,0
165,8a0bb0205a1ffff,Новосибирск,0,0,0,0,0,0,0,0
166,8a0bb0205a27fff,Новосибирск,0,0,0,0,0,0,0,0
167,8a0bb0205a37fff,Новосибирск,0,0,0,0,0,0,0,0
168,8a0bb0205a87fff,Новосибирск,0,0,0,0,0,4,0,0
169,8a0bb0205a8ffff,Новосибирск,0,0,0,0,0,2,0,0
170,8a0bb0205a97fff,Новосибирск,0,0,0,0,0,0,0,0
171,8a0bb0205a9ffff,Новосибирск,0,0,0,0,0,0,0,0
172,8a0bb0205aa7fff,Новосибирск,0,0,0,0,0,0,0,0
173,8a0bb0205aaffff,Новосибирск,0,0,0,0,0,0,0,0
174,8a0bb0205ab7fff,Новосибирск,0,0,0,0,0,0,0,0
175,8a0bb0205ac7fff,Новосибирск,0,0,0,0,0,1,0,0
176,8a0bb0205acffff,Новосибирск,0,0,0,0,0,0,0,0
177,8a0bb0205ad7fff,Новосибирск,0,0,0,0,0,1,0,0
178,8a0bb0205adffff,Новосибирск,0,0,0,0,0,0,0,0
179,8a0bb0205ae7fff,Новосибирск,0,0,0,0,0,0,0,0
180,8a0bb0205aeffff,Новосибирск,0,0,0,0,0,1,0,0
181,8a0bb0205af7fff,Новосибирск,0,0,0,0,0,0,0,0
182,8a0bb0205b07fff,Новосибирск,0,0,0,0,0,6,0,0
183,8a0bb0205b0ffff,Новосибирск,0,0,0,0,0,3,0,0
184,8a0bb0205b17fff,Новосибирск,0,0,0,0,0,0,0,0
185,8a0bb0205b2ffff,Новосибирск,0,0,0,0,0,0,0,0
186,8a0bb0205b37fff,Новосибирск,0,0,0,0,0,0,0,0
187,8a0bb0205b87fff,Новосибирск,0,0,0,0,0,0,0,0
188,8a0bb0205b8ffff,Новосибирск,0,0,0,0,0,5,0,0
189,8a0bb0205b9ffff,Новосибирск,0,0,2,0,0,1,0,0
190,8a0bb0205ba7fff,Новосибирск,0,0,0,0,0,0,0,0
191,8a0bb0205baffff,Новосибирск,0,0,0,0,0,5,0,0
192,8a0bb0205d67fff,Новосибирск,0,0,0,0,0,2,0,0
193,8a0bb0220047fff,Новосибирск,0,0,0,0,0,9,0,1
